Source,Target,Type
Tim Robbins,Morgan Freeman,Undirected
Marlon Brando,Al Pacino,Undirected
Christian Bale,Heath Ledger,Undirected
Al Pacino,Robert De Niro,Undirected
Henry Fonda,Lee J. Cobb,Undirected
Elijah Wood,Viggo Mortensen,Undirected
John Travolta,Uma Thurman,Undirected
Liam Neeson,Ralph Fiennes,Undirected
Leonardo DiCaprio,Joseph Gordon-Levitt,Undirected
Brad Pitt,Edward Norton,Undirected
Elijah Wood,Ian McKellen,Undirected
Tom Hanks,Robin Wright,Undirected
Clint Eastwood,Eli Wallach,Undirected
Elijah Wood,Ian McKellen,Undirected
Lilly Wachowski,Keanu Reeves,Undirected
Robert De Niro,Ray Liotta,Undirected
Mark Hamill,Harrison Ford,Undirected
Jack Nicholson,Louise Fletcher,Undirected
Lin-Manuel Miranda,Phillipa Soo,Undirected
Kang-ho Song,Lee Sun-kyun,Undirected
Suriya,Madhavan,Undirected
Matthew McConaughey,Anne Hathaway,Undirected
Kátia Lund,Alexandre Rodrigues,Undirected
Daveigh Chase,Suzanne Pleshette,Undirected
Tom Hanks,Matt Damon,Undirected
Tom Hanks,Michael Clarke Duncan,Undirected
Roberto Benigni,Nicoletta Braschi,Undirected
Morgan Freeman,Brad Pitt,Undirected
Jodie Foster,Anthony Hopkins,Undirected
Mark Hamill,Harrison Ford,Undirected
Tatsuya Nakadai,Akira Ishihama,Undirected
Toshirô Mifune,Takashi Shimura,Undirected
James Stewart,Donna Reed,Undirected
Joaquin Phoenix,Robert De Niro,Undirected
Miles Teller,J.K. Simmons,Undirected
Éric Toledano,François Cluzet,Undirected
Christian Bale,Hugh Jackman,Undirected
Leonardo DiCaprio,Matt Damon,Undirected
Adrien Brody,Thomas Kretschmann,Undirected
Russell Crowe,Joaquin Phoenix,Undirected
Edward Norton,Edward Furlong,Undirected
Kevin Spacey,Gabriel Byrne,Undirected
Jean Reno,Gary Oldman,Undirected
Rob Minkoff,Matthew Broderick,Undirected
Arnold Schwarzenegger,Linda Hamilton,Undirected
Philippe Noiret,Enzo Cannavale,Undirected
Tsutomu Tatsumi,Ayano Shiraishi,Undirected
Michael J. Fox,Christopher Lloyd,Undirected
Henry Fonda,Charles Bronson,Undirected
Anthony Perkins,Janet Leigh,Undirected
Humphrey Bogart,Ingrid Bergman,Undirected
Charles Chaplin,Paulette Goddard,Undirected
Charles Chaplin,Virginia Cherrill,Undirected
Zain Al Rafeea,Yordanos Shiferaw,Undirected
Erdem Can,Çetin Tekindor,Undirected
Pushkar,Madhavan,Undirected
Ryûnosuke Kamiki,Mone Kamishiraishi,Undirected
Aamir Khan,Sakshi Tanwar,Undirected
Peter Ramsey,Rodney Rothman,Undirected
Joe Russo,Robert Downey Jr.,Undirected
Joe Russo,Robert Downey Jr.,Undirected
Adrian Molina,Anthony Gonzalez,Undirected
Jamie Foxx,Christoph Waltz,Undirected
Christian Bale,Tom Hardy,Undirected
Aamir Khan,Madhavan,Undirected
